ID;Nombre;IdFutbin;Enlace;Media;Calidad;Equipo;Liga;Pais;Ritmo;Tiro;Pase;Regate;Defensa;Fisico
4820;Reiss Nelson;38221;https://www.futbin.com/25/player/38221/reiss-nelson;75;gold;Arsenal;Premier League;England;85;67;71;78;36;55
4821;Carly Nelson;38222;https://www.futbin.com/25/player/38222/carly-nelson;75;gold;Utah Royals FC;NWSL;United States;77;74;74;73;35;75
4822;João Pedro Neves Filipe;38223;https://www.futbin.com/25/player/38223/joao-pedro-neves-filipe;75;gold;Al Ittihad;ROSHN Saudi League;Portugal;86;70;70;81;37;59
4823;Bart Nieuwkoop;38224;https://www.futbin.com/25/player/38224/bart-nieuwkoop;75;gold;Feyenoord;Eredivisie;Netherlands;70;63;73;71;71;77
4824;Tijjani Noslin;38225;https://www.futbin.com/25/player/38225/tijjani-noslin;75;gold;Latium;Serie A TIM;Netherlands;80;73;66;78;43;74
4825;Jake O'Brien;38226;https://www.futbin.com/25/player/38226/jake-obrien;75;gold;Everton;Premier League;Republic of Ireland;76;41;53;51;73;79
4826;Warmed Omari;38227;https://www.futbin.com/25/player/38227/warmed-omari;75;gold;Stade Rennais FC;Ligue 1 Uber Eats;France;65;34;58;62;77;73
4827;Bećir Omeragić;38228;https://www.futbin.com/25/player/38228/becir-omeragic;75;gold;Montpellier;Ligue 1 Uber Eats;Switzerland;75;40;63;68;75;73
4828;Raphael Onyedika;38229;https://www.futbin.com/25/player/38229/raphael-onyedika;75;gold;Club Brugge;1A Pro League;Nigeria;74;64;64;71;72;80
4829;Henry Onyekuru;38230;https://www.futbin.com/25/player/38230/henry-onyekuru;75;gold;Al Fayha;ROSHN Saudi League;Nigeria;92;74;65;77;35;60
4830;Jayden Oosterwolde;38231;https://www.futbin.com/25/player/38231/jayden-oosterwolde;75;gold;Fenerbahçe;Trendyol Süper Lig;Netherlands;89;42;61;72;72;80
4831;Aimar Oroz Huarte;38232;https://www.futbin.com/25/player/38232/aimar-oroz-huarte;75;gold;CA Osasuna;LALIGA EA SPORTS;Spain;68;74;71;76;58;65
4832;Francisco Ortega;38233;https://www.futbin.com/25/player/38233/francisco-ortega;75;gold;Olympiacos FC;Hellas Liga;Argentina;86;58;72;78;67;78
4833;Lena Ostermeier;38234;https://www.futbin.com/25/player/38234/lena-ostermeier;75;gold;SGS Essen;GPFBL;Germany;55;53;69;71;77;76
4834;Azzedine Ounahi;38235;https://www.futbin.com/25/player/38235/azzedine-ounahi;75;gold;OM;Ligue 1 Uber Eats;Morocco;64;63;73;77;63;66
4835;Sebastián Palacios;38236;https://www.futbin.com/25/player/38236/sebastian-palacios;75;gold;Talleres;Libertadores;Argentina;81;73;71;77;44;66
4836;Alexandros Paschalakis;38237;https://www.futbin.com/25/player/38237/alexandros-paschalakis;75;gold;Olympiacos FC;Hellas Liga;Greece;76;72;58;77;51;75
4837;Luca Pellegrini;38238;https://www.futbin.com/25/player/38238/luca-pellegrini;75;gold;Latium;Serie A TIM;Italy;71;54;66;76;71;58
4838;Rubén Peña Jiménez;38239;https://www.futbin.com/25/player/38239/ruben-pena-jimenez;75;gold;CA Osasuna;LALIGA EA SPORTS;Spain;72;69;70;73;72;65
4839;David Pereira da Costa;38240;https://www.futbin.com/25/player/38240/david-pereira-da-costa;75;gold;RC Lens;Ligue 1 Uber Eats;Portugal;76;70;73;81;34;46
4840;Mathias Pereira Lage;38241;https://www.futbin.com/25/player/38241/mathias-pereira-lage;75;gold;Stade Brestois 29;Ligue 1 Uber Eats;Portugal;86;72;74;74;61;67
4841;Enzo Pérez;38242;https://www.futbin.com/25/player/38242/enzo-perez;75;gold;Estudiantes;Libertadores;Argentina;57;66;74;77;71;74
4842;Nehuén Pérez;38243;https://www.futbin.com/25/player/38243/nehuen-perez;75;gold;Udinese;Serie A TIM;Argentina;49;25;47;50;77;73
4843;Lucas Pérez Martínez;38244;https://www.futbin.com/25/player/38244/lucas-perez-martinez;75;gold;RC Deportivo;LALIGA HYPERMOTION;Spain;74;76;75;72;30;70
4844;Marie Petiteau;38245;https://www.futbin.com/25/player/38245/marie-petiteau;75;gold;Montpellier;D1 Arkema;France;75;75;71;78;42;74
4845;Jaden Philogene;38246;https://www.futbin.com/25/player/38246/jaden-philogene;75;gold;Aston Villa;Premier League;England;85;71;69;78;37;59
4846;Brianna Pinto;38247;https://www.futbin.com/25/player/38247/brianna-pinto;75;gold;NC Courage;NWSL;United States;84;67;72;74;72;73
4847;Diogo Filipe Pinto Leite;38248;https://www.futbin.com/25/player/38248/diogo-filipe-pinto-leite;75;gold;Union Berlin;Bundesliga;Portugal;55;38;50;61;77;76
4848;Madison Pogarch;38249;https://www.futbin.com/25/player/38249/madison-pogarch;75;gold;Utah Royals FC;NWSL;United States;89;50;68;69;70;68
4849;Joel Pohjanpalo;38250;https://www.futbin.com/25/player/38250/joel-pohjanpalo;75;gold;Venezia;Serie A TIM;Finland;68;76;63;72;38;76
4850;Ezequiel Ponce;38251;https://www.futbin.com/25/player/38251/ezequiel-ponce;75;gold;Houston Dynamo;MLS;Argentina;75;75;61;73;38;75
4851;Marin Pongračić;38252;https://www.futbin.com/25/player/38252/marin-pongracic;75;gold;Fiorentina;Serie A TIM;Croatia;61;26;52;62;75;75
4852;Denys Popov;38253;https://www.futbin.com/25/player/38253/denys-popov;75;gold;Dynamo Kyiv;Ukrayina Liha;Ukraine;63;40;51;61;75;75
4853;Ángelo Preciado;38254;https://www.futbin.com/25/player/38254/angelo-preciado;75;gold;Sparta Praha;Česká Liga;Ecuador;84;63;70;76;66;72
4854;Valeri Qazaishvili;38255;https://www.futbin.com/25/player/38255/valeri-qazaishvili;75;gold;Shandong Taishan;CSL;Georgia;76;71;70;77;41;69
4855;Jarell Quansah;38256;https://www.futbin.com/25/player/38256/jarell-quansah;75;gold;Liverpool;Premier League;England;74;34;59;68;74;77
4856;Giovana Queiroz Costa;38257;https://www.futbin.com/25/player/38257/giovana-queiroz-costa;75;gold;Atlético de Madrid;Liga F;Brazil;81;81;63;79;24;71
4857;Sandro Ramírez Castillo;38259;https://www.futbin.com/25/player/38259/sandro-ramirez-castillo;75;gold;UD Las Palmas;LALIGA EA SPORTS;Spain;78;76;67;76;31;63
4858;Christopher Ramos de la Flor;38260;https://www.futbin.com/25/player/38260/christopher-ramos-de-la-flor;75;gold;Cádiz CF;LALIGA HYPERMOTION;Spain;80;73;64;73;35;68
4859;Milot Rashica;38261;https://www.futbin.com/25/player/38261/milot-rashica;75;gold;Beşiktaş;Trendyol Süper Lig;Kosovo;81;74;71;76;50;73
4860;Yunis Abdelhamid;51912;https://www.futbin.com/25/player/51912/yunis-abdelhamid;75;gold;AS Saint-Étienne;Ligue 1 Uber Eats;Morocco;32;33;57;62;76;78
4861;Laurent Abergel;51913;https://www.futbin.com/25/player/51913/laurent-abergel;75;gold;FC Lorient;Ligue 2 BKT;France;65;50;69;72;71;75
4862;Zakaria Aboukhlal;51914;https://www.futbin.com/25/player/51914/zakaria-aboukhlal;75;gold;Toulouse FC;Ligue 1 Uber Eats;Morocco;84;72;69;75;41;75
4863;Ché Adams;51915;https://www.futbin.com/25/player/51915/che-adams;75;gold;Torino;Serie A TIM;Scotland;79;76;62;74;40;76
4864;Elijah Adebayo;51916;https://www.futbin.com/25/player/51916/elijah-adebayo;75;gold;Luton Town;EFL Championship;England;74;72;53;70;45;80
4865;Ola Aina;51917;https://www.futbin.com/25/player/51917/ola-aina;75;gold;Nott'm Forest;Premier League;Nigeria;89;60;69;74;70;74
4866;Firas Al Birekan;51918;https://www.futbin.com/25/player/51918/firas-al-birekan;75;gold;Al Ahli;ROSHN Saudi League;Saudi Arabia;76;73;54;70;30;72
4867;Musa Al Tamari;51919;https://www.futbin.com/25/player/51919/musa-al-tamari;75;gold;Montpellier;Ligue 1 Uber Eats;Jordan;89;69;67;80;38;58
4868;Oberdan Alionço de Lima;51920;https://www.futbin.com/25/player/51920/oberdan-alionco-de-lima;75;gold;Pohang Steelers;K League 1;Brazil;82;63;67;73;70;76
4869;Angelina Alonso Costantino;51921;https://www.futbin.com/25/player/51921/angelina-alonso-costantino;75;gold;Orlando Pride;NWSL;Brazil;72;68;74;78;48;65
4870;Arene Altonaga Echeverria;51922;https://www.futbin.com/25/player/51922/arene-altonaga-echeverria;75;gold;SD Eibar;Liga F;Spain;63;57;65;71;74;68
4871;Gastón Álvarez;51923;https://www.futbin.com/25/player/51923/gaston-alvarez;75;gold;Al Qadisiyah;ROSHN Saudi League;Uruguay;75;27;59;65;76;75
4872;Juan Cruz Álvaro Armada;51924;https://www.futbin.com/25/player/51924/juan-cruz-alvaro-armada;75;gold;CA Osasuna;LALIGA EA SPORTS;Spain;73;40;62;64;73;73
4873;Oihane Valdezate Cabornero;54217;https://www.futbin.com/25/player/54217/oihane-valdezate-cabornero;75;gold;AS Roma;Calcio A Femminile;Spain;74;50;61;64;75;75
4874;Olivie Lukášová;54220;https://www.futbin.com/25/player/54220/olivie-lukasova;75;gold;AS Roma;Calcio A Femminile;Czechia;70;72;69;76;41;76
4875;Emmy Jézéquel;54266;https://www.futbin.com/25/player/54266/emmy-jezequel;75;gold;Strasbourg;D1 Arkema;France;69;44;61;67;76;75
4876;Sérgio Miguel Relvas de Oliveira;54554;https://www.futbin.com/25/player/54554/sergio-miguel-relvas-de-oliveira;75;gold;Olympiacos FC;Hellas Liga;Portugal;48;75;79;71;66;58
4877;Juan Bernat Velasco;54564;https://www.futbin.com/25/player/54564/juan-bernat-velasco;75;gold;Villarreal CF;LALIGA EA SPORTS;Spain;70;64;76;80;75;53
4878;Leander Dendoncker;54587;https://www.futbin.com/25/player/54587/leander-dendoncker;75;gold;RSC Anderlecht;1A Pro League;Belgium;53;69;75;70;76;78
4879;Maxwel Cornet;54595;https://www.futbin.com/25/player/54595/maxwel-cornet;75;gold;Southampton;Premier League;Côte d'Ivoire;85;75;70;76;67;70
4880;Frédéric Guilbert;54640;https://www.futbin.com/25/player/54640/frederic-guilbert;75;gold;Lecce;Serie A TIM;France;71;47;68;71;73;75
4881;Stijn Spierings;54644;https://www.futbin.com/25/player/54644/stijn-spierings;75;gold;Brøndby IF;3F Superliga;Netherlands;54;66;68;70;74;75
4882;Kevin Vázquez Comesaña;54646;https://www.futbin.com/25/player/54646/kevin-vazquez-comesana;75;gold;R. Sporting;LALIGA HYPERMOTION;Spain;67;53;67;66;73;66
4883;Niklas Dorsch;54662;https://www.futbin.com/25/player/54662/niklas-dorsch;75;gold;Heidenheim;Bundesliga;Germany;70;72;73;78;71;72
4884;Reiss Nelson;54666;https://www.futbin.com/25/player/54666/reiss-nelson;75;gold;Fulham;Premier League;England;85;67;71;78;36;55
4885;Felix Uduokhai;54669;https://www.futbin.com/25/player/54669/felix-uduokhai;75;gold;Beşiktaş;Trendyol Süper Lig;Germany;62;39;53;59;76;75
4886;Odsonne Edouard;54683;https://www.futbin.com/25/player/54683/odsonne-edouard;75;gold;Leicester City;Premier League;France;73;75;67;76;45;69
4887;João Pedro Neves Filipe;54689;https://www.futbin.com/25/player/54689/joao-pedro-neves-filipe;75;gold;Stade Rennais FC;Ligue 1 Uber Eats;Portugal;86;70;70;81;37;59
4888;Aurélio Gabriel Ulineia Buta;54690;https://www.futbin.com/25/player/54690/aurelio-gabriel-ulineia-buta;75;gold;Stade de Reims;Ligue 1 Uber Eats;Portugal;87;60;69;77;67;67
4889;Jordan Lotomba;54692;https://www.futbin.com/25/player/54692/jordan-lotomba;75;gold;Feyenoord;Eredivisie;Switzerland;78;48;65;72;71;68
4890;Antonio Martínez López;54694;https://www.futbin.com/25/player/54694/antonio-martinez-lopez;75;gold;D. Alavés;LALIGA EA SPORTS;Spain;68;76;60;72;24;78
4891;Hamed Traorè;54744;https://www.futbin.com/25/player/54744/hamed-traore;75;gold;AJ Auxerre;Ligue 1 Uber Eats;Côte d'Ivoire;76;69;72;78;57;59
4892;Hyeon Seok Hong;54780;https://www.futbin.com/25/player/54780/hyeon-seok-hong;75;gold;1. FSV Mainz 05;Bundesliga;Korea Republic;72;71;74;76;66;68
4893;Nehuén Pérez;54781;https://www.futbin.com/25/player/54781/nehuen-perez;75;gold;FC Porto;Liga Portugal;Argentina;49;25;47;50;77;73
4894;Billy Gilmour;54795;https://www.futbin.com/25/player/54795/billy-gilmour;75;gold;SSC Napoli;Serie A TIM;Scotland;60;58;75;76;70;62
4895;Derrick Köhn;54834;https://www.futbin.com/25/player/54834/derrick-kohn;75;gold;SV Werder Bremen;Bundesliga;Germany;87;68;71;76;69;75
4896;Elliot Anderson;54868;https://www.futbin.com/25/player/54868/elliot-anderson;75;gold;Nott'm Forest;Premier League;England;72;66;72;79;69;77
4897;Azzedine Ounahi;54875;https://www.futbin.com/25/player/54875/azzedine-ounahi;75;gold;Panathinaikos;Hellas Liga;Morocco;64;63;73;77;63;66
4898;Warmed Omari;54897;https://www.futbin.com/25/player/54897/warmed-omari;75;gold;OL;Ligue 1 Uber Eats;France;65;34;58;62;77;73
4899;Jérémy Le Douaron;54903;https://www.futbin.com/25/player/54903/jeremy-le-douaron;75;gold;Palermo;Serie BKT;France;66;73;69;74;50;73
4900;Jan Kuchta;54912;https://www.futbin.com/25/player/54912/jan-kuchta;75;gold;FC Midtjylland;3F Superliga;Czechia;79;73;66;72;35;82
4901;Mandela Keita;54959;https://www.futbin.com/25/player/54959/mandela-keita;75;gold;Parma;Serie A TIM;Belgium;78;56;67;75;72;80
4902;Kayla Sharples;55037;https://www.futbin.com/25/player/55037/kayla-sharples;75;gold;KC Current;NWSL;United States;47;42;50;64;77;68
4903;Riechedly Bazoer;55581;https://www.futbin.com/25/player/55581/riechedly-bazoer;75;gold;Konyaspor;Trendyol Süper Lig;Netherlands;67;68;74;75;74;74
4904;Atakan Karazor;55720;https://www.futbin.com/25/player/55720/atakan-karazor;75;gold;VfB Stuttgart;Bundesliga;Türkiye;48;36;62;66;77;73
4905;Warmed Omari;55721;https://www.futbin.com/25/player/55721/warmed-omari;75;gold;Stade Rennais FC;Ligue 1 Uber Eats;Comoros;65;34;58;62;77;73
4906;Borjan;56601;https://www.futbin.com/25/player/56601/borjan;75;gold;Al Riyadh;ROSHN Saudi League;Canada;77;72;73;76;44;73
4907;Pinheiro Carvalho;56602;https://www.futbin.com/25/player/56602/pinheiro-carvalho;75;gold;Al Riyadh;ROSHN Saudi League;Portugal;74;76;77;79;54;59
4908;Rodrigues;56603;https://www.futbin.com/25/player/56603/rodrigues;75;gold;Kasımpaşa;Trendyol Süper Lig;Portugal;73;71;76;73;69;66
4909;Ali Nadjim;56604;https://www.futbin.com/25/player/56604/ali-nadjim;75;gold;AS Saint Étienne;D1 Arkema;France;89;74;65;73;37;67
4910;D'Angelo;56605;https://www.futbin.com/25/player/56605/dangelo;75;gold;Aston Villa;Barclays WSL;Canada;73;75;74;75;46;74
4911;Abdelmonem;56606;https://www.futbin.com/25/player/56606/abdelmonem;75;gold;OGC Nice;Ligue 1 Uber Eats;Egypt;66;40;63;62;75;75
4912;Aleixo Leite;56607;https://www.futbin.com/25/player/56607/aleixo-leite;75;gold;RC Deportivo;LALIGA HYPERMOTION;Brazil;74;72;70;76;53;74
4913;Balotelli;56608;https://www.futbin.com/25/player/56608/balotelli;75;gold;Genoa;Serie A TIM;Italy;61;79;71;73;25;78
4914;Wolf;56609;https://www.futbin.com/25/player/56609/wolf;75;gold;FC Augsburg;Bundesliga;Germany;77;71;71;73;70;77
4915;Hwang;56610;https://www.futbin.com/25/player/56610/hwang;75;gold;Feyenoord;Eredivisie;Korea Republic;63;68;75;76;57;64
4916;Tavares Gomes;56611;https://www.futbin.com/25/player/56611/tavares-gomes;75;gold;LOSC Lille;Ligue 1 Uber Eats;Portugal;42;66;75;73;70;71
4917;De Arruabarrena;56612;https://www.futbin.com/25/player/56612/de-arruabarrena;75;gold;Al Wehda;ROSHN Saudi League;Uruguay;73;75;70;77;37;75
4918;Rebic;56613;https://www.futbin.com/25/player/56613/rebic;75;gold;Lecce;Serie A TIM;Croatia;78;75;72;75;46;77
4919;Nastasic;56614;https://www.futbin.com/25/player/56614/nastasic;75;gold;CD Leganés;LALIGA EA SPORTS;Serbia;60;36;63;56;75;74
4920;Ochoa;56652;https://www.futbin.com/25/player/56652/ochoa;75;gold;AVS Futebol SAD;Liga Portugal;Mexico;76;69;66;77;50;78
4921;Trindade;56653;https://www.futbin.com/25/player/56653/trindade;75;gold;Wolves;Premier League;Brazil;51;52;69;69;72;83
4922;Maxwel Cornet;57237;https://www.futbin.com/25/player/57237/maxwel-cornet;75;gold;Genoa;Serie A TIM;Côte d'Ivoire;85;75;70;76;67;70
4923;Albert Grønbæk;57238;https://www.futbin.com/25/player/57238/albert-gronbaek;75;gold;Southampton;Premier League;Denmark;77;68;72;77;62;72
4924;Georgios Masouras;57559;https://www.futbin.com/25/player/57559/georgios-masouras;75;gold;VfL Bochum;Bundesliga;Greece;75;75;73;73;53;70
4925;Adam Armstrong;57560;https://www.futbin.com/25/player/57560/adam-armstrong;75;gold;West Brom;EFL Championship;England;77;76;66;73;35;68
4926;Ramón Terrats Espacio;57561;https://www.futbin.com/25/player/57561/ramon-terrats-espacio;75;gold;Getafe CF;LALIGA EA SPORTS;Spain;60;64;70;71;71;71
4927;Tom Krauß;57562;https://www.futbin.com/25/player/57562/tom-krau;75;gold;VfL Bochum;Bundesliga;Germany;70;66;66;73;72;75
4928;João Pedro Neves Filipe;57816;https://www.futbin.com/25/player/57816/joao-pedro-neves-filipe;75;gold;Celtic;cinch Prem;Portugal;86;70;70;81;37;59
4929;Yusuf Sari;57926;https://www.futbin.com/25/player/57926/yusuf-sari;75;gold;Başakşehir;Trendyol Süper Lig;Türkiye;85;70;70;79;33;59
4930;Leonardo Lopes de Souza;57927;https://www.futbin.com/25/player/57927/leonardo-lopes-de-souza;75;gold;Shandong Taishan;CSL;Brazil;78;75;59;73;36;73
4931;Jesus Ferreira;57928;https://www.futbin.com/25/player/57928/jesus-ferreira;75;gold;Sounders FC;MLS;United States;84;73;71;76;45;67
4932;Ignacio Vidal Miralles;57929;https://www.futbin.com/25/player/57929/ignacio-vidal-miralles;75;gold;R. Oviedo;LALIGA HYPERMOTION;Spain;75;56;69;69;73;65
4933;Nordin Amrabat;57930;https://www.futbin.com/25/player/57930/nordin-amrabat;75;gold;Hull City;EFL Championship;Morocco;78;68;74;76;55;86
4934;Leonardo Lopes de Souza;57931;https://www.futbin.com/25/player/57931/leonardo-lopes-de-souza;75;gold;Shanghai Port;CSL;Brazil;78;75;59;73;36;73
4935;Enzo Pérez;57932;https://www.futbin.com/25/player/57932/enzo-perez;75;gold;River Plate;Libertadores;Argentina;57;66;74;77;71;74
4936;Aderllan de Jesus Santos;57933;https://www.futbin.com/25/player/57933/aderllan-de-jesus-santos;75;gold;AVS Futebol SAD;Liga Portugal;Brazil;59;52;52;57;76;81
4937;Ruben Vargas;57934;https://www.futbin.com/25/player/57934/ruben-vargas;75;gold;Sevilla FC;LALIGA EA SPORTS;Switzerland;82;70;69;79;54;65
4938;Matías Rojas;57935;https://www.futbin.com/25/player/57935/matias-rojas;75;gold;River Plate;Libertadores;Paraguay;76;76;74;77;56;59
4939;Jaden Philogene;57936;https://www.futbin.com/25/player/57936/jaden-philogene;75;gold;Ipswich;Premier League;England;85;71;69;78;37;59
4940;Musa Al Tamari;58302;https://www.futbin.com/25/player/58302/musa-al-tamari;75;gold;Stade Rennais FC;Ligue 1 Uber Eats;Jordan;89;69;67;80;38;58
4941;Giangiacomo Magnani;58391;https://www.futbin.com/25/player/58391/giangiacomo-magnani;75;gold;Palermo;Serie BKT;Italy;64;39;45;50;76;72
4942;Cristian Medina;58392;https://www.futbin.com/25/player/58392/cristian-medina;75;gold;Estudiantes;Libertadores;Argentina;75;64;72;79;69;69
4943;Anthony Rouault;58393;https://www.futbin.com/25/player/58393/anthony-rouault;75;gold;Stade Rennais FC;Ligue 1 Uber Eats;France;64;30;61;60;76;73
4944;Juan Bernat Velasco;58394;https://www.futbin.com/25/player/58394/juan-bernat-velasco;75;gold;Getafe CF;LALIGA EA SPORTS;Spain;70;64;76;80;75;53
4945;Alan Velasco;58395;https://www.futbin.com/25/player/58395/alan-velasco;75;gold;Boca Juniors;Sudamericana;Argentina;83;68;71;80;52;61
4946;Javier Burrai;58396;https://www.futbin.com/25/player/58396/javier-burrai;75;gold;Talleres;Libertadores;Ecuador;75;72;71;75;44;73
4947;Megan Reid;58397;https://www.futbin.com/25/player/58397/megan-reid;75;gold;Angel City FC;NWSL;Canada;59;40;49;59;79;66
4948;Omar Mascarell González;58398;https://www.futbin.com/25/player/58398/omar-mascarell-gonzalez;75;gold;RCD Mallorca;LALIGA EA SPORTS;Equatorial Guinea;53;64;71;74;72;71
4949;Ben Godfrey;58723;https://www.futbin.com/25/player/58723/ben-godfrey;75;gold;Ipswich;Premier League;England;81;44;61;61;74;76
4950;Steven Zuber;58767;https://www.futbin.com/25/player/58767/steven-zuber;75;gold;FC Zürich;CSSL;Switzerland;77;74;73;75;65;76
4951;Shelby Hogan;58768;https://www.futbin.com/25/player/58768/shelby-hogan;75;gold;NJ/NY Gotham;NWSL;United States;78;70;77;73;44;72
4952;Cassie Miller;58769;https://www.futbin.com/25/player/58769/cassie-miller;75;gold;OL Reign;NWSL;United States;77;70;75;77;41;76
4953;Philip Zinckernagel;58770;https://www.futbin.com/25/player/58770/philip-zinckernagel;75;gold;Club Brugge;1A Pro League;Denmark;82;72;71;76;42;67
4954;Pablo Marí Villar;58903;https://www.futbin.com/25/player/58903/pablo-mari-villar;75;gold;Fiorentina;Serie A TIM;Spain;55;40;49;53;77;72
4955;Mory Diaw;58904;https://www.futbin.com/25/player/58904/mory-diaw;75;gold;Rodez AF;Ligue 2 BKT;Senegal;77;74;73;78;43;72
4956;Simone Verdi;58905;https://www.futbin.com/25/player/58905/simone-verdi;75;gold;Sassuolo;Serie BKT;Italy;77;71;74;79;43;47
4957;Lloyd Kelly;58906;https://www.futbin.com/25/player/58906/lloyd-kelly;75;gold;Juventus;Serie A TIM;England;67;40;65;67;75;78
4958;Linda Motlhalo;58907;https://www.futbin.com/25/player/58907/linda-motlhalo;75;gold;Glasgow City FC;Scottish Women's League;South Africa;76;66;74;76;69;64
4959;Philip Zinckernagel;58908;https://www.futbin.com/25/player/58908/philip-zinckernagel;75;gold;Chicago Fire FC;MLS;Denmark;82;72;71;76;42;67
4960;Narumi Miura;58909;https://www.futbin.com/25/player/58909/narumi-miura;75;gold;Washington Spirit;NWSL;Japan;62;70;76;75;72;65
4961;Joel Pohjanpalo;58910;https://www.futbin.com/25/player/58910/joel-pohjanpalo;75;gold;Palermo;Serie BKT;Finland;68;76;63;72;38;76
4962;Bianca St-Georges;59186;https://www.futbin.com/25/player/59186/bianca-st-georges;75;gold;Utah Royals FC;NWSL;Canada;69;64;73;74;70;78
4963;Lucas Pérez Martínez;59187;https://www.futbin.com/25/player/59187/lucas-perez-martinez;75;gold;PSV;Eredivisie;Spain;74;76;75;72;30;70
4964;De Arruabarrena;59188;https://www.futbin.com/25/player/59188/de-arruabarrena;75;gold;Barcelona SC;Libertadores;Uruguay;73;75;70;77;37;75
4965;David Pereira da Costa;59189;https://www.futbin.com/25/player/59189/david-pereira-da-costa;75;gold;Portland Timbers-Thorns;MLS;Portugal;76;70;73;81;34;46
4966;Daizen Maeda;33085;https://www.futbin.com/25/player/33085/daizen-maeda;74;silver;Celtic;cinch Prem;Japan;93;71;65;75;60;74
4967;James Forrest;33089;https://www.futbin.com/25/player/33089/james-forrest;74;silver;Celtic;cinch Prem;Scotland;77;72;70;74;49;54
4968;Greg Taylor;33094;https://www.futbin.com/25/player/33094/greg-taylor;74;silver;Celtic;cinch Prem;Scotland;72;55;73;73;71;73
4969;Mohammed Diomande;33115;https://www.futbin.com/25/player/33115/mohammed-diomande;74;silver;Rangers;cinch Prem;Côte d'Ivoire;76;68;72;79;68;71
4970;Danilo Pereira Da Silva;33118;https://www.futbin.com/25/player/33118/danilo-pereira-da-silva;74;silver;Rangers;cinch Prem;Brazil;74;74;61;74;25;70
4971;Rıdvan Yılmaz;33119;https://www.futbin.com/25/player/33119/rdvan-ylmaz;74;silver;Rangers;cinch Prem;Türkiye;86;56;67;78;68;62
4972;Nedim Bajrami;33120;https://www.futbin.com/25/player/33120/nedim-bajrami;74;silver;Sassuolo;Serie BKT;Albania;75;68;73;77;58;65
4973;John Souttar;33121;https://www.futbin.com/25/player/33121/john-souttar;74;silver;Rangers;cinch Prem;Scotland;73;48;63;70;73;77
4974;Courtney Brosnan;33172;https://www.futbin.com/25/player/33172/courtney-brosnan;74;silver;Everton;Barclays WSL;Republic of Ireland;70;71;66;77;41;75
4975;Lize Kop;33176;https://www.futbin.com/25/player/33176/lize-kop;74;silver;Leicester City;Barclays WSL;Netherlands;75;66;72;74;30;77
4976;Alexander Schlager;33186;https://www.futbin.com/25/player/33186/alexander-schlager;74;silver;RB Salzburg;Ö. Bundesliga;Austria;73;72;66;76;46;73
4977;Viktor Claesson;33231;https://www.futbin.com/25/player/33231/viktor-claesson;74;silver;F.C. København;3F Superliga;Sweden;72;71;72;76;63;76
4978;Rasmus Falk;33232;https://www.futbin.com/25/player/33232/rasmus-falk;74;silver;F.C. København;3F Superliga;Denmark;75;55;70;81;66;69
4979;Megan Finnigan;33487;https://www.futbin.com/25/player/33487/megan-finnigan;74;silver;Everton;Barclays WSL;England;60;43;65;61;74;72
4980;Carl Starfelt;36574;https://www.futbin.com/25/player/36574/carl-starfelt;74;silver;RC Celta;LALIGA EA SPORTS;Sweden;75;31;53;68;74;76
4981;Niklas Stark;36575;https://www.futbin.com/25/player/36575/niklas-stark;74;silver;SV Werder Bremen;Bundesliga;Germany;74;50;62;66;74;76
4982;Beke Sterner;36576;https://www.futbin.com/25/player/36576/beke-sterner;74;silver;SGS Essen;GPFBL;Germany;73;59;73;71;71;69
4983;Ella Stevens;36577;https://www.futbin.com/25/player/36577/ella-stevens;74;silver;NJ/NY Gotham;NWSL;United States;70;74;67;68;42;66
4984;Zoé Stiévenart;36578;https://www.futbin.com/25/player/36578/zoe-stievenart;74;silver;Havre AC;D1 Arkema;France;78;72;68;75;41;70
4985;Thomas Strakosha;36579;https://www.futbin.com/25/player/36579/thomas-strakosha;74;silver;AEK Athens;Hellas Liga;Albania;74;73;72;75;43;71
4986;Pascal Struijk;36580;https://www.futbin.com/25/player/36580/pascal-struijk;74;silver;Leeds United;EFL Championship;Netherlands;56;46;59;64;74;78
4987;Luka Sučić;36581;https://www.futbin.com/25/player/36581/luka-sucic;74;silver;Real Sociedad;LALIGA EA SPORTS;Croatia;79;73;74;74;49;69
4988;Stoppila Sunzu;36582;https://www.futbin.com/25/player/36582/stoppila-sunzu;74;silver;Changchun Yatai;CSL;Zambia;43;41;49;51;74;83
4989;Tomáš Suslov;36583;https://www.futbin.com/25/player/36583/tomas-suslov;74;silver;Hellas Verona;Serie A TIM;Slovakia;78;71;72;76;52;71
4990;Attila Szalai;36584;https://www.futbin.com/25/player/36584/attila-szalai;74;silver;TSG Hoffenheim;Bundesliga;Hungary;72;45;62;63;74;79
4991;Damian Szymański;36585;https://www.futbin.com/25/player/36585/damian-szymanski;74;silver;AEK Athens;Hellas Liga;Poland;70;64;65;68;73;81
4992;Fatima Tagnaout;36586;https://www.futbin.com/25/player/36586/fatima-tagnaout;74;silver;Sevilla FC;Liga F;Morocco;87;65;67;79;40;52
4993;Flavien Tait;36587;https://www.futbin.com/25/player/36587/flavien-tait;74;silver;Samsunspor;Trendyol Süper Lig;France;68;71;74;75;67;71
4994;Matt Targett;36588;https://www.futbin.com/25/player/36588/matt-targett;74;silver;Newcastle Utd;Premier League;England;65;47;71;70;73;66
